Shipment_ID,Date,Zone,Transport_Mode,Shipment_Volume,Distance_km,Delivery_Time_hr,Transportation_Cost,On_Time
SHP0131,2026-02-04,Central,Road,36.7,279.6,7.37,609.72,0
SHP0132,2026-03-06,West,Road,78.9,146.1,4.37,425.84,1
SHP0133,2026-02-16,East,Road,69.5,336.5,8.17,749.92,0
SHP0134,2026-03-19,South,Rail,55.2,209.5,5.3,370.01,1
SHP0135,2026-01-03,Central,Rail,119.6,128.8,2.9,352.51,1
SHP0136,2026-01-01,West,Rail,91.7,92.6,3.15,262.11,1
SHP0137,2026-01-05,North,Road,93.1,69.3,2.74,307.26,1
SHP0138,2026-03-31,Central,Road,35.5,133.3,4.77,354.69,1
SHP0139,2026-01-14,Central,Rail,57.8,81.4,1.91,212.83,1
SHP0140,2026-01-27,Central,Road,71.4,86.2,3.3,340.32,1
SHP0141,2026-01-09,West,Road,75.8,179.3,5.79,508.22,1
SHP0142,2026-03-20,West,Road,198.4,56.0,2.1,478.17,1
SHP0143,2026-01-15,South,Air,59.5,44.7,0.82,432.82,1
SHP0144,2026-03-31,Central,Air,13.0,155.9,1.48,1075.53,1
SHP0145,2026-02-11,Central,Road,71.9,206.0,6.27,530.9,1
SHP0146,2026-03-18,North,Rail,89.2,186.3,3.9,384.98,1
SHP0147,2026-02-20,North,Air,71.5,45.6,1.56,448.45,1
SHP0148,2026-03-04,South,Road,9.3,91.7,3.35,196.61,1
SHP0149,2026-02-21,Central,Road,80.5,99.3,3.51,310.81,1
SHP0150,2026-01-04,Central,Air,90.5,47.9,0.93,520.07,1
SHP0151,2026-01-23,North,Road,33.4,149.6,4.68,363.89,1
SHP0152,2026-01-15,East,Road,48.0,166.7,4.98,416.77,1
SHP0153,2026-02-12,South,Road,67.4,130.3,3.95,391.29,1
SHP0154,2026-01-29,Central,Air,51.5,47.3,0.51,415.09,1
SHP0155,2026-02-05,Central,Air,56.0,406.7,2.55,2755.73,1
SHP0156,2026-01-13,Central,Air,80.9,85.6,1.52,723.82,1
SHP0157,2026-02-01,East,Road,49.7,250.6,6.92,595.2,1
SHP0158,2026-03-12,South,Rail,28.2,313.4,7.78,406.64,0
SHP0159,2026-02-28,South,Rail,107.1,113.2,3.25,294.3,1
SHP0160,2026-03-27,North,Road,38.8,186.6,5.11,427.45,1
SHP0161,2026-01-28,Central,Rail,62.5,56.9,1.92,224.41,1
SHP0162,2026-03-07,Central,Road,53.1,116.2,4.03,303.24,1
SHP0163,2026-02-11,Central,Road,35.8,190.3,6.0,417.15,1
SHP0164,2026-02-14,Central,Road,105.6,147.7,4.94,485.12,1
SHP0165,2026-03-03,East,Road,100.2,220.1,6.82,647.78,1
SHP0166,2026-02-26,West,Road,56.6,107.7,3.79,300.63,1
SHP0167,2026-01-06,Central,Road,69.1,250.6,7.31,578.41,0
SHP0168,2026-01-28,Central,Road,73.5,76.7,2.91,304.11,1
SHP0169,2026-01-28,South,Rail,37.0,188.0,4.74,326.38,1
SHP0170,2026-02-13,East,Road,40.0,101.0,2.8,273.57,1
SHP0171,2026-03-25,North,Road,68.5,42.1,1.98,198.04,1
SHP0172,2026-01-30,Central,Road,35.3,217.8,6.81,494.86,1
SHP0173,2026-03-03,West,Rail,68.2,90.3,2.54,261.34,1
SHP0174,2026-03-16,South,Road,15.8,72.6,2.64,224.56,1
SHP0175,2026-03-30,West,Road,55.0,285.4,6.81,654.05,1
SHP0176,2026-03-03,West,Rail,80.2,233.4,5.76,442.99,1
SHP0177,2026-01-01,South,Road,77.2,70.5,3.06,288.42,1
SHP0178,2026-01-27,North,Road,118.4,63.2,2.6,393.99,1
SHP0179,2026-03-03,West,Road,37.0,109.1,2.9,287.11,1
SHP0180,2026-03-18,East,Rail,66.5,66.5,2.63,210.19,1
SHP0181,2026-01-03,West,Road,107.6,320.7,8.43,827.75,0
SHP0182,2026-03-11,East,Rail,79.9,40.1,1.4,188.4,1
SHP0183,2026-03-13,Central,Road,101.9,375.4,9.86,850.7,0
SHP0184,2026-01-27,East,Air,35.4,183.8,0.5,1292.03,1
SHP0185,2026-01-09,East,Rail,71.8,203.9,5.03,381.32,1
SHP0186,2026-03-03,Central,Air,61.8,156.3,2.35,1151.91,1
SHP0187,2026-02-06,South,Road,72.8,45.3,2.2,258.19,1
SHP0188,2026-02-20,North,Rail,44.9,230.0,4.78,347.98,1
SHP0189,2026-02-13,North,Road,126.4,149.7,4.29,520.5,1
SHP0190,2026-01-24,West,Road,96.6,76.5,2.66,330.44,1
SHP0191,2026-03-20,West,Road,119.2,266.9,6.81,702.02,1
SHP0192,2026-02-28,West,Rail,80.1,255.5,5.51,451.11,1
SHP0193,2026-02-01,South,Air,47.4,267.6,1.91,1870.33,1
SHP0194,2026-03-29,North,Rail,93.4,246.3,5.84,502.88,1
SHP0195,2026-02-21,North,Road,127.1,103.6,3.37,447.98,1
SHP0196,2026-03-03,South,Road,80.0,200.7,5.27,487.06,1
SHP0197,2026-02-27,East,Rail,41.7,263.7,5.75,395.27,1
SHP0198,2026-02-21,South,Road,50.9,248.0,6.99,568.83,1
SHP0199,2026-01-12,East,Road,71.0,19.7,1.89,208.01,1
SHP0200,2026-02-08,Central,Road,134.9,140.0,5.38,519.66,1
SHP0201,2026-01-02,South,Road,154.7,91.5,4.04,485.25,1
SHP0202,2026-01-03,East,Road,43.5,318.4,8.13,689.12,0
SHP0203,2026-02-25,West,Road,83.1,141.3,5.26,458.67,1
SHP0204,2026-03-22,South,Road,50.6,191.4,5.92,457.64,1
SHP0205,2026-02-28,West,Road,33.4,164.7,5.65,390.84,1
SHP0206,2026-01-02,Central,Air,92.2,300.0,1.89,2156.62,1
SHP0207,2026-01-02,Central,Road,75.0,378.2,10.27,832.96,0
SHP0208,2026-02-23,North,Road,77.3,150.3,4.6,422.73,1
SHP0209,2026-03-28,Central,Road,63.9,169.7,5.51,437.76,1
SHP0210,2026-01-01,East,Road,80.9,309.8,8.74,716.68,0
SHP0211,2026-01-19,South,Air,79.4,67.5,1.26,618.14,1
SHP0212,2026-01-02,East,Rail,103.7,73.3,2.66,258.89,1
SHP0213,2026-02-22,Central,Road,44.6,95.7,4.01,255.07,1
SHP0214,2026-02-13,East,Road,106.0,227.5,6.12,658.23,1
SHP0215,2026-03-31,South,Rail,99.0,153.0,4.28,358.55,1
SHP0216,2026-02-01,West,Air,81.8,96.4,1.02,804.26,1
SHP0217,2026-03-11,South,Road,70.7,290.0,9.16,650.39,0
SHP0218,2026-02-01,North,Road,66.3,48.3,0.85,236.34,1
SHP0219,2026-03-09,North,Road,66.6,93.3,3.42,303.22,1
SHP0220,2026-02-24,North,Air,70.7,133.5,0.5,994.8,1
SHP0221,2026-03-16,North,Road,29.0,377.3,9.78,787.5,0
SHP0222,2026-02-25,North,Air,186.9,95.2,1.09,992.82,1
SHP0223,2026-01-17,West,Road,115.0,200.8,6.46,590.01,1
SHP0224,2026-02-07,North,Road,155.4,133.3,3.76,557.11,1
SHP0225,2026-01-24,South,Road,94.1,63.9,3.31,344.25,1
SHP0226,2026-03-10,Central,Road,49.8,198.6,5.6,490.71,1
SHP0227,2026-03-11,East,Road,87.9,121.8,4.31,412.3,1
SHP0228,2026-03-27,West,Road,103.2,104.2,3.27,401.58,1
SHP0229,2026-01-11,North,Road,41.7,56.8,2.29,219.82,1
SHP0230,2026-01-16,North,Rail,125.9,153.7,3.54,411.55,1
SHP0231,2026-03-14,North,Road,55.7,328.9,9.31,716.73,0
SHP0232,2026-02-28,North,Road,98.3,98.2,3.73,386.99,1
SHP0233,2026-03-11,South,Air,134.4,67.9,1.56,696.3,1
SHP0234,2026-03-21,North,Rail,79.9,42.3,1.15,210.78,1
SHP0235,2026-01-03,North,Air,134.8,39.0,0.67,517.66,1
SHP0236,2026-01-20,North,Air,29.9,135.5,0.76,987.29,1
SHP0237,2026-02-28,East,Road,37.3,154.7,3.47,356.48,1
SHP0238,2026-02-05,South,Road,44.5,185.2,6.18,457.68,1
SHP0239,2026-01-19,South,Rail,18.7,139.3,3.59,234.27,1
SHP0240,2026-03-31,East,Road,25.1,164.0,4.55,387.01,1
SHP0241,2026-03-08,West,Road,135.0,326.6,9.45,837.86,0
SHP0242,2026-01-19,North,Rail,119.6,289.7,5.95,526.52,1
SHP0243,2026-01-20,West,Road,51.2,281.6,7.33,638.99,0
SHP0244,2026-03-12,West,Road,181.1,257.8,7.04,810.29,0
SHP0245,2026-02-21,North,Road,59.6,213.8,5.48,539.24,1
SHP0246,2026-02-02,Central,Road,158.5,47.4,2.68,377.16,1
SHP0247,2026-02-09,Central,Road,160.0,128.2,4.28,551.44,1
SHP0248,2026-02-08,North,Road,49.7,173.0,4.79,449.87,1
SHP0249,2026-03-23,South,Rail,103.2,81.9,2.42,298.81,1
SHP0250,2026-01-01,Central,Road,117.0,357.7,9.87,885.26,0
SHP0251,2026-01-11,West,Road,49.1,119.2,3.88,339.91,1
SHP0252,2026-02-26,North,Rail,10.4,43.8,1.46,86.07,1
SHP0253,2026-03-30,South,Air,102.0,114.7,1.31,963.51,1
SHP0254,2026-02-19,South,Rail,43.8,187.8,4.58,345.24,1
SHP0255,2026-01-23,East,Rail,64.9,81.9,2.21,235.82,1
SHP0256,2026-01-31,West,Road,76.5,134.4,4.21,380.67,1
SHP0257,2026-02-11,South,Road,92.1,44.6,1.96,259.48,1
SHP0258,2026-01-07,East,Road,57.9,110.7,3.89,300.66,1
SHP0259,2026-01-16,West,Road,79.3,148.1,4.57,459.61,1
SHP0260,2026-03-31,North,Road,121.2,139.0,3.98,504.99,1
SHP0261,2026-03-01,South,Road,21.1,231.8,6.87,479.09,1
SHP0262,2026-01-02,West,Rail,30.7,75.5,2.34,144.71,1
SHP0263,2026-01-01,Central,Road,35.8,181.3,4.94,407.2,1
SHP0264,2026-02-17,East,Road,52.5,203.8,5.81,479.6,1
SHP0265,2026-01-12,East,Road,100.6,92.4,2.54,374.31,1
SHP0266,2026-03-10,North,Road,112.9,81.6,3.26,375.17,1
SHP0267,2026-02-06,East,Road,62.9,359.3,9.25,812.82,0
SHP0268,2026-02-01,East,Rail,63.0,121.3,3.36,263.06,1
SHP0269,2026-01-09,South,Road,131.3,186.4,5.35,566.58,1
SHP0270,2026-01-19,South,Road,77.1,191.2,5.78,489.4,1
SHP0271,2026-02-17,South,Road,57.0,53.4,3.02,227.61,1
SHP0272,2026-03-21,North,Rail,106.6,166.0,3.8,385.7,1
SHP0273,2026-01-03,South,Road,100.9,161.0,4.77,491.07,1
SHP0274,2026-01-20,South,Road,84.6,360.4,10.08,819.37,0
SHP0275,2026-01-24,South,Road,51.2,160.9,5.32,429.48,1
SHP0276,2026-02-23,North,Road,40.4,226.8,6.05,501.35,1
SHP0277,2026-02-02,Central,Rail,42.5,232.2,4.73,355.88,1
SHP0278,2026-01-24,East,Rail,43.9,123.8,2.78,258.72,1
SHP0279,2026-03-16,West,Road,41.8,435.3,11.67,879.43,0
SHP0280,2026-03-13,West,Rail,52.6,89.1,2.27,230.05,1
SHP0281,2026-02-05,East,Rail,69.1,44.2,1.6,207.06,1
SHP0282,2026-02-07,North,Rail,73.3,107.7,2.56,280.63,1
SHP0283,2026-03-25,East,Rail,36.8,38.1,0.62,119.05,1
SHP0284,2026-03-30,East,Road,78.7,93.0,2.71,358.33,1
SHP0285,2026-01-25,West,Road,72.7,147.0,4.8,463.16,1
SHP0286,2026-01-18,East,Road,65.8,170.5,3.79,453.92,1
SHP0287,2026-03-23,North,Rail,50.3,115.4,3.11,228.62,1
SHP0288,2026-03-07,South,Road,37.2,92.4,2.87,265.08,1
SHP0289,2026-02-23,South,Rail,91.7,106.7,3.41,326.08,1
SHP0290,2026-02-04,West,Rail,72.5,201.0,4.98,368.28,1
SHP0291,2026-03-21,East,Road,82.7,71.7,2.43,302.33,1
SHP0292,2026-03-02,South,Rail,55.6,92.7,2.81,237.62,1
SHP0293,2026-02-10,Central,Road,52.1,178.3,5.28,466.16,1
SHP0294,2026-02-02,West,Road,112.2,155.8,4.1,520.14,1
SHP0295,2026-03-09,South,Rail,212.8,42.4,2.74,458.1,1
SHP0296,2026-02-02,North,Road,59.7,262.5,6.76,601.32,1
SHP0297,2026-01-14,North,Rail,75.1,108.6,3.58,289.36,1
SHP0298,2026-01-21,South,Rail,66.7,66.0,2.01,207.99,1
SHP0299,2026-02-17,North,Road,44.2,55.1,2.45,224.54,1
SHP0300,2026-01-20,North,Road,54.9,264.6,6.69,625.33,1
SHP0301,2026-01-08,South,Road,167.7,26.2,2.06,377.21,1
SHP0302,2026-01-07,North,Road,47.4,187.5,5.22,446.47,1
SHP0303,2026-03-08,Central,Air,72.2,236.6,1.82,1691.97,1
SHP0304,2026-01-17,North,Road,49.1,114.4,3.9,356.91,1
SHP0305,2026-02-02,East,Road,67.5,341.0,8.71,757.24,0
SHP0306,2026-02-17,South,Road,47.4,74.6,2.33,268.76,1
SHP0307,2026-03-17,Central,Road,53.1,200.1,6.51,491.55,1
SHP0308,2026-02-28,North,Rail,29.9,157.0,3.24,252.52,1
SHP0309,2026-03-27,South,Road,73.0,365.8,10.14,793.34,0
SHP0310,2026-01-22,Central,Rail,57.6,122.8,4.07,271.81,1
SHP0311,2026-01-30,Central,Road,89.3,188.2,5.71,527.21,1
SHP0312,2026-02-07,Central,Air,67.5,156.4,2.3,1198.87,1
SHP0313,2026-02-20,South,Road,46.7,47.8,2.55,184.95,1
SHP0314,2026-02-23,North,Road,40.5,133.9,3.77,386.18,1
SHP0315,2026-01-08,West,Air,69.4,99.6,1.87,807.2,1
SHP0316,2026-01-27,Central,Road,127.0,157.0,4.62,540.3,1
SHP0317,2026-01-27,East,Air,51.4,190.4,1.08,1349.3,1
SHP0318,2026-01-21,East,Road,22.8,303.2,7.93,625.18,0
SHP0319,2026-01-30,South,Road,76.9,21.1,1.97,212.22,1
SHP0320,2026-01-28,West,Road,120.7,146.7,4.99,521.12,1
SHP0321,2026-03-05,North,Rail,90.4,58.3,2.43,235.2,1
SHP0322,2026-03-10,South,Road,34.8,201.7,6.1,482.54,1
SHP0323,2026-03-02,East,Road,73.9,449.9,11.39,976.96,0
SHP0324,2026-02-17,East,Road,103.5,118.5,2.8,435.2,1
SHP0325,2026-01-19,South,Road,55.5,86.6,2.67,281.25,1
SHP0326,2026-01-04,North,Road,52.0,108.2,4.27,301.45,1
SHP0327,2026-02-04,West,Rail,52.9,58.9,1.24,191.03,1
SHP0328,2026-03-05,South,Air,62.8,13.5,0.88,232.88,1
SHP0329,2026-02-18,East,Air,36.0,171.2,1.72,1184.06,1
SHP0330,2026-01-17,North,Rail,76.6,142.6,3.59,336.36,1
SHP0331,2026-02-13,East,Road,78.5,88.1,3.32,344.97,1
SHP0332,2026-01-30,East,Rail,79.4,68.6,2.29,232.31,1
SHP0333,2026-02-15,North,Road,68.0,235.6,7.17,556.27,0
SHP0334,2026-01-06,South,Road,35.4,289.2,8.22,610.29,0
SHP0335,2026-02-06,North,Road,61.0,158.8,4.98,424.97,1
SHP0336,2026-01-24,North,Road,154.3,27.8,1.24,342.59,1
SHP0337,2026-02-15,Central,Rail,77.8,130.5,4.04,309.71,1
SHP0338,2026-02-22,South,Road,44.8,178.7,5.28,436.81,1
SHP0339,2026-03-01,Central,Road,92.9,121.5,4.09,387.0,1
SHP0340,2026-03-04,South,Road,155.2,130.7,4.71,511.54,1
SHP0341,2026-03-26,West,Air,82.8,92.5,1.63,728.01,1
SHP0342,2026-02-01,West,Road,63.9,123.3,4.7,382.54,1
SHP0343,2026-03-28,East,Road,126.8,248.4,7.44,697.95,0
SHP0344,2026-02-02,East,Road,53.4,164.6,5.13,440.92,1
SHP0345,2026-03-08,South,Rail,111.0,101.9,2.28,315.31,1
SHP0346,2026-01-18,South,Road,51.4,121.8,4.92,342.06,1
SHP0347,2026-01-25,Central,Road,56.1,303.8,9.05,681.08,0
SHP0348,2026-02-23,Central,Road,100.3,69.6,2.71,320.68,1
SHP0349,2026-02-27,Central,Road,124.2,93.1,3.94,385.76,1
SHP0350,2026-03-08,North,Road,66.0,130.5,3.54,413.53,1
SHP0351,2026-02-15,West,Road,122.6,97.9,3.61,444.83,1
SHP0352,2026-01-24,Central,Air,83.6,295.6,1.51,2091.65,1
SHP0353,2026-02-01,North,Road,45.2,251.9,6.53,574.44,1
SHP0354,2026-02-16,North,Road,56.3,128.7,4.28,353.64,1
SHP0355,2026-03-27,West,Air,89.9,429.5,2.51,2961.66,1
SHP0356,2026-01-23,East,Road,130.5,172.1,5.04,599.52,1
SHP0357,2026-03-07,Central,Road,111.9,328.8,9.1,787.27,0
SHP0358,2026-01-27,North,Road,112.7,311.3,7.36,781.79,0
SHP0359,2026-01-02,West,Road,32.6,187.1,5.36,428.72,1
SHP0360,2026-03-31,South,Air,98.5,66.0,1.6,661.17,1
SHP0361,2026-01-17,North,Road,96.0,151.9,4.37,487.76,1
SHP0362,2026-02-02,North,Rail,79.7,91.0,2.54,240.49,1
SHP0363,2026-01-09,Central,Road,95.3,199.5,6.07,556.06,1
SHP0364,2026-02-12,West,Road,25.0,181.0,5.16,403.68,1
SHP0365,2026-02-17,East,Road,16.1,167.1,4.81,359.04,1
SHP0366,2026-02-08,South,Road,78.9,229.0,6.53,592.49,1
SHP0367,2026-02-11,Central,Road,67.4,176.4,6.25,441.74,1
SHP0368,2026-01-26,South,Rail,62.0,138.5,2.73,285.39,1
SHP0369,2026-02-19,Central,Road,85.6,62.3,2.64,301.28,1
SHP0370,2026-01-25,East,Air,76.8,97.0,0.64,808.29,1
SHP0371,2026-01-24,South,Road,81.4,73.5,3.05,308.37,1
SHP0372,2026-01-13,East,Rail,106.0,237.1,5.15,470.82,1
SHP0373,2026-03-01,South,Rail,52.6,133.0,4.35,268.56,1
SHP0374,2026-01-07,West,Rail,82.3,167.5,4.92,372.49,1
SHP0375,2026-02-26,East,Rail,49.2,107.7,2.41,237.72,1
SHP0376,2026-02-05,South,Rail,21.9,270.4,6.12,350.92,1
SHP0377,2026-02-14,Central,Road,59.6,207.1,6.42,486.9,1
SHP0378,2026-01-20,South,Road,113.8,155.7,4.55,481.91,1
SHP0379,2026-03-06,East,Road,43.3,142.0,4.46,390.41,1
SHP0380,2026-01-08,Central,Air,85.9,84.8,1.49,746.76,1
